,Unnamed: 0,time,collection_id,cpus,memory,cluster,avg_cpus_request,avg_memory_request,N
1929,1929,1315364527,375007087899,0.018310546875,0.018218994140625,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
1930,1930,1315364916,375007087899,0.0070419311523437,0.0091094970703125,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
1931,1931,4708427529,375026589211,0.0027313232421875,0.0031776428222656,1.0,0.005059715969110621,0.003560749038088832,1600.0
1932,1932,1315365237,375007087899,0.002288818359375,0.0010910034179687,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
1933,1933,1315365237,375007087899,0.002288818359375,0.0010910034179687,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
1934,1934,1315365237,375007087899,0.002288818359375,0.0010910034179687,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
1935,1935,1315365237,375007087899,0.002288818359375,0.0010910034179687,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
1936,1936,1315365237,375007087899,0.002288818359375,0.0010910034179687,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
1937,1937,1315365237,375007087899,0.002288818359375,0.0010910034179687,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
1938,1938,1315365237,375007087899,0.002288818359375,0.0010910034179687,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
1939,1939,1315365237,375007087899,0.002288818359375,0.0010910034179687,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
1940,1940,1315365237,375007087899,0.002288818359375,0.0010910034179687,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
1941,1941,1315365237,375007087899,0.002288818359375,0.0010910034179687,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
1942,1942,1315365237,375007087899,0.002288818359375,0.0010910034179687,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
1943,1943,1315365237,375007087899,0.002288818359375,0.0010910034179687,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
1944,1944,1315365237,375007087899,0.002288818359375,0.0010910034179687,5.0,0.0070675866866430695,0.0049461597528609675,2836.0
